episode,win_rate,loss_rate,draw_rate,avg_reward,avg_loss
500,0.0840,0.9140,0.0020,-5.5709,0.335753
1000,0.0840,0.9160,0.0000,-5.7292,0.404500
1500,0.1300,0.8700,0.0000,-5.1784,0.403481
2000,0.1260,0.8740,0.0000,-5.1500,0.409303
2500,0.1480,0.8520,0.0000,-4.9011,0.413778
3000,0.1600,0.8400,0.0000,-4.7390,0.406388
3500,0.1460,0.8540,0.0000,-4.9957,0.392563
4000,0.1440,0.8540,0.0020,-4.9579,0.385690
4500,0.1900,0.8100,0.0000,-4.4790,0.372767
5000,0.1920,0.8080,0.0000,-4.4436,0.365023
5500,0.2120,0.7880,0.0000,-4.1797,0.352094
6000,0.1900,0.8100,0.0000,-4.4108,0.344902
6500,0.2040,0.7940,0.0020,-4.2640,0.335865
7000,0.1960,0.8040,0.0000,-4.4029,0.336079
7500,0.2220,0.7780,0.0000,-4.1137,0.325433
8000,0.2460,0.7540,0.0000,-3.8146,0.318926
8500,0.2540,0.7440,0.0020,-3.6902,0.313072
9000,0.2880,0.7100,0.0020,-3.3884,0.302300
9500,0.2520,0.7460,0.0020,-3.6886,0.295763
10000,0.2420,0.7560,0.0020,-3.8143,0.288118
10500,0.2700,0.7300,0.0000,-3.5057,0.279306
11000,0.3240,0.6760,0.0000,-2.8857,0.267749
11500,0.3000,0.7000,0.0000,-3.1476,0.264271
12000,0.2900,0.7100,0.0000,-3.2089,0.254469
12500,0.3060,0.6900,0.0040,-3.0906,0.244377
13000,0.3660,0.6340,0.0000,-2.3918,0.241818
13500,0.3900,0.6060,0.0040,-2.1783,0.231969
14000,0.3700,0.6300,0.0000,-2.4061,0.227772
14500,0.3640,0.6340,0.0020,-2.3419,0.219413
15000,0.3660,0.6340,0.0000,-2.4611,0.211054
15500,0.3540,0.6460,0.0000,-2.5166,0.207953
16000,0.4480,0.5520,0.0000,-1.5012,0.198874
16500,0.4400,0.5600,0.0000,-1.5930,0.193233
17000,0.4200,0.5800,0.0000,-1.7708,0.188188
17500,0.4520,0.5480,0.0000,-1.5057,0.180643
18000,0.4480,0.5500,0.0020,-1.4505,0.171778
18500,0.5100,0.4880,0.0020,-0.7234,0.168058
19000,0.5180,0.4820,0.0000,-0.6430,0.158534
19500,0.5160,0.4840,0.0000,-0.7038,0.153039
20000,0.5240,0.4740,0.0020,-0.6341,0.146210
20500,0.5500,0.4500,0.0000,-0.2729,0.137651
21000,0.5620,0.4360,0.0020,-0.1502,0.134717
21500,0.5920,0.4060,0.0020,0.2148,0.132905
22000,0.5680,0.4300,0.0020,-0.0858,0.132984
22500,0.5380,0.4600,0.0020,-0.3837,0.131910
23000,0.5700,0.4280,0.0020,-0.0397,0.131262
23500,0.5560,0.4420,0.0020,-0.1711,0.131711
24000,0.5600,0.4400,0.0000,-0.1429,0.130665
24500,0.5420,0.4580,0.0000,-0.3416,0.128162
25000,0.5340,0.4640,0.0020,-0.4598,0.128794
25500,0.5680,0.4320,0.0000,-0.0687,0.128821
26000,0.5580,0.4420,0.0000,-0.1871,0.128243
26500,0.5740,0.4260,0.0000,-0.0626,0.125853
27000,0.5340,0.4640,0.0020,-0.4215,0.129195
27500,0.5420,0.4540,0.0040,-0.3397,0.128593
28000,0.5660,0.4340,0.0000,-0.0807,0.127643
28500,0.5880,0.4120,0.0000,0.1733,0.125889
29000,0.6120,0.3880,0.0000,0.3965,0.124890
29500,0.6020,0.3980,0.0000,0.2956,0.125224
30000,0.5660,0.4320,0.0020,-0.0663,0.125046
30500,0.5740,0.4240,0.0020,0.1155,0.122374
31000,0.5980,0.4020,0.0000,0.2742,0.120165
31500,0.6000,0.4000,0.0000,0.3104,0.123052
32000,0.5960,0.4040,0.0000,0.2469,0.121508
32500,0.6300,0.3700,0.0000,0.6379,0.119155
33000,0.5680,0.4320,0.0000,-0.0573,0.118458
33500,0.5560,0.4440,0.0000,-0.1650,0.118087
34000,0.5740,0.4260,0.0000,-0.0163,0.117438
34500,0.6080,0.3920,0.0000,0.3956,0.118111
35000,0.5940,0.4060,0.0000,0.2503,0.117688
